Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0001_FIB,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0002_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0003_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0004_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0006_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0007_FIB,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0008_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0009_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0010_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0011_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0012_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0013_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0014_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0015_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,1,1,Interactions,Magnets and their characteristics,PSC_MPHLB_Intern_0_0016_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,2,1,Interactions,Making magnets,PSC_MPHLB_Intern_0_0017_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,2,1,Interactions,Making magnets,PSC_MPHLB_Intern_0_0018_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,2,1,Interactions,Making magnets,PSC_MPHLB_Intern_0_0019_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,2,1,Interactions,Making magnets,PSC_MPHLB_Intern_0_0020_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,2,1,Interactions,Making magnets,PSC_MPHLB_Intern_0_0021_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,2,1,Interactions,Making magnets,PSC_MPHLB_Intern_0_0022_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,2,1,Interactions,Making magnets,PSC_MPHLB_Intern_0_0023_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,3,1,Interactions,Magnets everywhere,PSC_MPHLB_Intern_0_0024_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,3,1,Interactions,Magnets everywhere,PSC_MPHLB_Intern_0_0025_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,3,1,Interactions,Magnets everywhere,PSC_MPHLB_Intern_0_0026_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,3,1,Interactions,Magnets everywhere,PSC_MPHLB_Intern_0_0027_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,3,1,Interactions,Magnets everywhere,PSC_MPHLB_Intern_0_0028_OE,1
MY PALS ARE HERE! Science Process Skills - Interactions Primary 3&4,P3,3,1,Interactions,Magnets everywhere,PSC_MPHLB_Intern_0_0029_OE,1
